iter	Logloss
0	0.5506292163
1	0.4626307005
2	0.4055029646
3	0.3697521178
4	0.3448438411
5	0.3287369462
6	0.3173741319
7	0.3097938697
8	0.3032621102
9	0.298106548
10	0.294217446
11	0.2912298448
12	0.2878858178
13	0.285506088
14	0.2837112533
15	0.2819505596
16	0.2807268861
17	0.2795857205
18	0.278669079
19	0.2777384266
20	0.2770183125
21	0.2764683722
22	0.2758953334
23	0.275363847
24	0.2749910908
25	0.2746241397
26	0.274318402
27	0.2740607406
28	0.2737733251
29	0.2734820712
30	0.2732610038
31	0.2731062806
32	0.2729599861
33	0.2727846447
34	0.2726013358
35	0.2724794089
36	0.2723335116
37	0.272188463
38	0.2720791539
39	0.2719725846
40	0.2717875105
41	0.2716996237
42	0.2715393299
43	0.2714347234
44	0.2713447285
45	0.271217165
46	0.2711556319
47	0.2710445983
48	0.2709832667
49	0.2709174475
50	0.2708454086
51	0.2708104752
52	0.2707467351
53	0.2706769555
54	0.2706259804
55	0.2705849629
56	0.2705415
57	0.2704863669
58	0.2704426599
59	0.2703890342
60	0.2703466177
61	0.2703132014
62	0.2702741583
63	0.2702476206
64	0.2702182792
65	0.2701867036
66	0.2701546301
67	0.2701254243
68	0.2700916496
69	0.2699680873
70	0.2699270543
71	0.2698925801
72	0.2698657537
73	0.2698402255
74	0.2698184969
75	0.2697807055
76	0.2697500407
77	0.2696905479
78	0.2696625105
79	0.2696133936
80	0.2694713154
81	0.269443185
82	0.2693789915
83	0.2693449009
84	0.2693073537
85	0.2692804052
86	0.2692475722
87	0.2692068782
88	0.2691865002
89	0.2691214619
90	0.2690947537
91	0.2690618218
92	0.2690406068
93	0.2690162605
94	0.26897869
95	0.2689524526
96	0.2688916946
97	0.2688528917
98	0.2688285397
99	0.2688068828
100	0.2687501298
101	0.2686606426
102	0.268566881
103	0.2685509673
104	0.2685336003
105	0.2684389416
106	0.2684240529
107	0.2683882999
108	0.2683349629
109	0.2683081675
110	0.2682766036
111	0.2682348846
112	0.2682154793
113	0.2681829815
114	0.268147678
115	0.2680810915
116	0.2680435849
117	0.268023267
118	0.2680002325
119	0.2679746985
120	0.2679434175
121	0.2679080442
122	0.2678579179
123	0.267840303
124	0.2677783271
125	0.2676791556
126	0.2676596234
127	0.2676020595
128	0.2675594289
129	0.2675280665
130	0.2674733703
131	0.2674486578
132	0.2674022217
133	0.2673784141
134	0.2673549068
135	0.2673427541
136	0.2673249744
137	0.2672859361
138	0.2672601347
139	0.2672349495
140	0.2671952922
141	0.2671551872
142	0.2671195475
143	0.2670936851
144	0.2670669963
145	0.2670442631
146	0.2670169096
147	0.2669846734
148	0.2669564926
149	0.2669220213
150	0.2668800901
151	0.266854933
152	0.2668370226
153	0.2668158957
154	0.2667964652
155	0.2667816356
156	0.2667649197
157	0.2667474036
158	0.2667190658
159	0.2667003804
160	0.2666818945
161	0.2666522895
162	0.2666240913
163	0.26659959
164	0.2665783633
165	0.2665580473
166	0.2665353645
167	0.266512924
168	0.2664912264
169	0.2664671582
170	0.2664461757
171	0.2664171675
172	0.2663983164
173	0.266383293
174	0.2663595048
175	0.2663436802
176	0.2663190288
177	0.2662959682
178	0.2662711995
179	0.2662588966
180	0.2662362836
181	0.2662134022
182	0.266186631
183	0.2661715049
184	0.2661414281
185	0.2661175896
186	0.2660998632
187	0.2660774178
188	0.266057842
189	0.2660263449
190	0.2660112528
191	0.2659850396
192	0.2659703456
193	0.2659703466
194	0.2659693574
195	0.2659462038
196	0.2659219515
197	0.2659038987
198	0.2658907064
199	0.2658701463
200	0.265849683
201	0.2658335736
202	0.2658210207
203	0.2658056834
204	0.2657796718
205	0.265765067
206	0.2657465888
207	0.2657246878
208	0.2657047759
209	0.2656854548
210	0.2656643037
211	0.2656395729
212	0.26562503
213	0.2656046133
214	0.2655872657
215	0.2655678537
216	0.2655449093
217	0.2655201532
218	0.2654965132
219	0.2654782754
220	0.2654599609
221	0.2654326869
222	0.2654126364
223	0.2653899245
224	0.2653549998
225	0.2653309404
226	0.265312934
227	0.2652929552
228	0.2652707239
229	0.265254753
230	0.2652319278
231	0.265211698
232	0.2651870137
233	0.2651746458
234	0.2651513585
235	0.2651308012
236	0.2651185167
237	0.2651004726
238	0.2650772434
239	0.2650528167
240	0.2650388377
241	0.265011432
242	0.2649909009
243	0.2649708698
244	0.2649481724
245	0.2649288437
246	0.2649125037
247	0.2648931129
248	0.2648769454
249	0.2648559357
250	0.2648310159
251	0.2648185095
252	0.2647967316
253	0.2647783474
254	0.2647597085
255	0.2647437066
256	0.2647277396
257	0.2647042992
258	0.2646871745
259	0.2646559845
260	0.2646385595
261	0.2646240719
262	0.2646065519
263	0.2645955636
264	0.2645758938
265	0.2645598396
266	0.264544141
267	0.2645364864
268	0.2645131933
269	0.2644983986
270	0.2644838702
271	0.2644624837
272	0.2644302698
273	0.2644163024
274	0.2644020512
275	0.2643858274
276	0.2643674917
277	0.264353256
278	0.2643342847
279	0.2643208366
280	0.2642997921
281	0.264283518
282	0.2642616006
283	0.2642380613
284	0.2642188149
285	0.2642007563
286	0.2641876395
287	0.2641761882
288	0.2641519359
289	0.2641367672
290	0.2641124345
291	0.2640976301
292	0.2640831347
293	0.2640580125
294	0.2640488359
295	0.2640299557
296	0.2640106821
297	0.2639879703
298	0.2639721864
299	0.2639521136
300	0.2639338602
301	0.2639189211
302	0.2639011492
303	0.2638873155
304	0.2638728144
305	0.2638518115
306	0.2638344688
307	0.2638155343
308	0.2637948279
309	0.2637769863
310	0.2637620917
311	0.2637456888
